a,MultiPartElement,2.0
GridTab,MLocatorLookup,2.5
X_C_RfQResponse,PO,2.0
MJournalBatch,DocAction,2.0
CommissionCopy,CompiereUserException,1.0
MInOutConfirm,CLogger,1.5
MInOut,NamePair,2.5
ImportBankStatement,Ctx,1.0
ChangeLogProcess,X_AD_ChangeLog,6.5
MAssetDelivery,PO,4.0
OFX1ToXML,OFX1ToXML,4.5
RegisterSystem,ProcessInfoParameter,0.5
MRegistration,MRegistrationAttribute,0.5
PaySelectionCreateCheck,PO,3.5
ColumnEncryption,CompiereUserException,0.5
MPaymentBatch,PO,1.5
X_C_DunningRun,PO,2.0
GwtServer,Ctx,7.5
MMovement,DocumentEngine,1.0
X_M_PriceList,PO,2.0
MBPartner,Msg,0.5
BankStatementPayment,MPayment,8.0
MWorkflow,MWorkflow,6.0
ColumnEncryption,MColumn,5.0
MWFProcess,X_AD_WF_Activity,2.0
MCStage,MCStageElement,1.0
MMediaDeploy,PO,3.5
RColumn,FieldType,1.0
MCashLine,MBankAccount,1.5
MSetup,X_C_Location,4.0
InvoiceGenerate,Ctx,0.5
SLACriteria,X_PA_SLA_Goal,1.0
ImportInOutConfirm,DB,3.5
MProjectType,PO,2.0
MOrderLine,X_AD_Role,1.0
MRequest,MRequest,30.0
EntityTypeRegister,EntityEnclosingMethod,0.5
InvoiceGenerate,X_AD_Client,0.5
MPaymentTerm,X_C_InvoicePaySchedule,1.5
MWFActivity,MUser,2.0
MTemplate,CLogger,1.0
MDistributionList,PO,2.0
TranslationImportExport,X_AD_Table,0.5
VolumeTest,X_C_OrderLine,0.5
MPaySelectionCheck,MPaySelectionLine,3.0
MScheduler,CompiereProcessor,2.0
MTimeExpenseLine,MConversionRate,1.0
X_M_InOut,PO,2.0
MSchedulerPara,MProcessPara,2.0
TemporaryDelete,ProcessInfoParameter,1.0
WFProcessManage,SvrProcess,4.0
MRfQ,MRfQLine,0.5
MStore,Ctx,1.0
MSetup,DocumentTypeVerify,1.0
RoleMakeSysAdmin,Ctx,1.0
GridTable,DB,10.0
UIFieldVO,VO,2.0
WebSessionCtx,DisplayType,3.0
MWikiToken,PO,1.0
MJournalLine,X_GL_JournalLine,21.5
GridWindow,Msg,0.5
FinStatement,ProcessInfoParameter,8.0
MRegistrationAttribute,MRegistrationAttribute,1.0
MProcessPara,X_AD_Process_Para,2.0
GridTable,MSort,2.5
X_CM_Ad,PO,2.0
TranslationDocSync,ProcessInfoParameter,0.5
ASyncWorker,ProcessInfo,1.0
RoleMakeSysAdmin,SvrProcess,5.0
MBank,X_C_Bank,3.5
ReportColumnSet_Copy,PO,0.5
CalloutEngine,GridField,1.0
MInterestArea,X_R_InterestArea,3.5
LeadRequest,CompiereUserException,1.0
InvoiceGenerate,SvrProcess,8.0
CalloutEngine,CalloutEngine,3.5
WebInfo,MSession,8.0
MBankStatementLine,CLogger,0.5
MNewsItem,MIndex,1.0
ImportBankStatement,SvrProcess,15.5
MDistribution,X_C_ValidCombination,6.5
ImportOrder,NamePair,1.0
MRfQTopicSubscriber,MRfQTopicSubscriberOnly,0.5
CalloutBankStatement,CalloutEngine,3.5
PaySelectionCreateCheck,SvrProcess,3.5
MOrderLine,ValueNamePair,0.5
PaymentTermValidate,CompiereUserException,0.5
MMedia,DB,1.5
MRfQResponseLine,X_C_RfQResponse,0.5
MReportSource,MReportTree,0.5
MWebProjectDomain,DB,0.5
MWorkflowProcessor,MWorkflowProcessor,0.5
GwtServer,ResponseVO,3.5
X_C_AcctSchema_Element,PO,2.0
MDocTypeCounter,PO,5.0
X_C_BPartner_Location,PO,2.0
MInOut,X_M_MatchInv,0.5
MSetup,X_C_BPartner_Location,1.5
X_T_ImpFormat,PO,2.0
CacheClearAll,X_CM_Template,0.5
AcctSchemaDefaultCopy,PO,1.0
MContainer,MWebProject,1.5
MYear,Msg,0.5
MPeriod,MOrg,1.5
MInvoiceBatchLine,MTax,1.0
MRequest,MNote,0.5
TemplateValidate,X_CM_Template,0.5
RfQClose,ProcessInfoParameter,0.5
InOutGenerate,MInOut,2.0
MUOMConversion,Ini,0.5
MCommissionRun,X_C_CommissionRun,5.0
MBank,PO,2.5
X_C_BP_BankAccount,PO,2.0
MTimeExpenseLine,PO,13.0
X_AD_AlertProcessor,PO,2.0
ValidateOrg,X_AD_Org,1.0
MLdapProcessorLog,X_AD_LdapProcessor,0.5
InitialSetup,CompiereUserException,0.5
MOrder,MPeriod,0.5
HtmlCode,ConcreteElement,2.5
option,MouseEvents,2.0
Tax,CLogger,4.5
MMovementLine,MAttributeSet,1.0
WFProcessManage,PO,0.5
MInvoiceTax,X_C_InvoiceTax,11.5
MProjectType,X_C_ProjectType,4.0
SendMailText,MInterestArea,1.5
MStorage,X_M_Locator,1.0
GwtServer,PO,2.0
MMediaServer,CLogger,1.0
X_AD_WF_EventAudit,PO,2.0
X_M_Cost,PO,2.0
MBPRelation,CLogger,1.0
MBankStatementLine,X_C_BankStatementLine,23.5
MDataMigrationEntry,Util,0.5
MDiscountSchema,MDiscountSchema,1.0
MInOut,MInOutConfirm,3.5
RoleMakeSysAdmin,PO,3.0
MCommissionRun,PO,3.5
MCostQueue,DB,1.0
MWFResponsible,Msg,0.5
MChat,Util,0.5
